block_group,B19051_000E,B19051_002E,B19051_003E,B19052_002E,B19052_003E,B19053_002E,B19053_003E,B19054_002E,B19054_003E,B19055_002E,B19055_003E,B19056_002E,B19056_003E,B19057_002E,B19057_003E,B19058_002E,B19058_003E,B19059_002E,B19059_003E,B19060_002E,B19060_003E
480291505012,401.0,307.0,94.0,287.0,114.0,65.0,336.0,17.0,384.0,154.0,247.0,38.0,363.0,0.0,401.0,103.0,298.0,50.0,351.0,7.0,394.0
480291505014,290.0,230.0,60.0,180.0,110.0,113.0,177.0,14.0,276.0,79.0,211.0,53.0,237.0,0.0,290.0,97.0,193.0,21.0,269.0,90.0,200.0
480291604002,637.0,421.0,216.0,421.0,216.0,6.0,631.0,17.0,620.0,223.0,414.0,95.0,542.0,15.0,622.0,128.0,509.0,85.0,552.0,77.0,560.0
480291604004,237.0,168.0,69.0,159.0,78.0,18.0,219.0,38.0,199.0,89.0,148.0,17.0,220.0,8.0,229.0,67.0,170.0,88.0,149.0,60.0,177.0
480291604001,307.0,198.0,109.0,198.0,109.0,0.0,307.0,9.0,298.0,175.0,132.0,9.0,298.0,0.0,307.0,29.0,278.0,117.0,190.0,104.0,203.0
480291604003,304.0,201.0,103.0,201.0,103.0,22.0,282.0,6.0,298.0,80.0,224.0,52.0,252.0,8.0,296.0,96.0,208.0,37.0,267.0,32.0,272.0
480291611005,377.0,268.0,109.0,268.0,109.0,0.0,377.0,32.0,345.0,148.0,229.0,52.0,325.0,0.0,377.0,54.0,323.0,88.0,289.0,73.0,304.0
480291611006,164.0,133.0,31.0,133.0,31.0,0.0,164.0,0.0,164.0,22.0,142.0,35.0,129.0,0.0,164.0,0.0,164.0,14.0,150.0,0.0,164.0
480291611001,916.0,766.0,150.0,753.0,163.0,92.0,824.0,102.0,814.0,303.0,613.0,20.0,896.0,31.0,885.0,227.0,689.0,97.0,819.0,134.0,782.0
480291611004,429.0,376.0,53.0,366.0,63.0,56.0,373.0,15.0,414.0,106.0,323.0,27.0,402.0,0.0,429.0,91.0,338.0,55.0,374.0,18.0,411.0
480291611003,264.0,233.0,31.0,233.0,31.0,0.0,264.0,0.0,264.0,112.0,152.0,71.0,193.0,0.0,264.0,128.0,136.0,51.0,213.0,43.0,221.0
480291611002,362.0,293.0,69.0,293.0,69.0,0.0,362.0,0.0,362.0,167.0,195.0,23.0,339.0,0.0,362.0,157.0,205.0,108.0,254.0,157.0,205.0
480291813012,726.0,589.0,137.0,589.0,137.0,38.0,688.0,167.0,559.0,166.0,560.0,36.0,690.0,0.0,726.0,62.0,664.0,125.0,601.0,12.0,714.0
480291813011,1211.0,1118.0,93.0,1088.0,123.0,147.0,1064.0,39.0,1172.0,146.0,1065.0,74.0,1137.0,0.0,1211.0,94.0,1117.0,66.0,1145.0,189.0,1022.0
480291814021,423.0,331.0,92.0,307.0,116.0,36.0,387.0,66.0,357.0,90.0,333.0,19.0,404.0,12.0,411.0,47.0,376.0,55.0,368.0,21.0,402.0
480291814022,718.0,528.0,190.0,520.0,198.0,25.0,693.0,30.0,688.0,48.0,670.0,0.0,718.0,0.0,718.0,33.0,685.0,35.0,683.0,37.0,681.0
480291109001,910.0,819.0,91.0,781.0,129.0,108.0,802.0,175.0,735.0,76.0,834.0,15.0,895.0,8.0,902.0,49.0,861.0,35.0,875.0,15.0,895.0
480291110003,529.0,481.0,48.0,467.0,62.0,35.0,494.0,50.0,479.0,64.0,465.0,13.0,516.0,0.0,529.0,63.0,466.0,26.0,503.0,34.0,495.0
480291110002,284.0,217.0,67.0,213.0,71.0,8.0,276.0,43.0,241.0,43.0,241.0,31.0,253.0,27.0,257.0,98.0,186.0,22.0,262.0,22.0,262.0
480291204001,471.0,430.0,41.0,430.0,41.0,128.0,343.0,209.0,262.0,69.0,402.0,12.0,459.0,0.0,471.0,0.0,471.0,119.0,352.0,40.0,431.0
480291204005,420.0,370.0,50.0,370.0,50.0,111.0,309.0,208.0,212.0,161.0,259.0,0.0,420.0,0.0,420.0,0.0,420.0,50.0,370.0,71.0,349.0
