block_group,household_pub_assist,count_household_pub_assist
480291720051,house_pub_assist_yes,0.0
480291720052,house_pub_assist_yes,0.0
480291720062,house_pub_assist_yes,0.0
480291720063,house_pub_assist_yes,0.0
480291720072,house_pub_assist_yes,0.0
480291720073,house_pub_assist_yes,12.0
480291801012,house_pub_assist_yes,14.0
480291315031,house_pub_assist_yes,28.0
480291315032,house_pub_assist_yes,31.0
480291315041,house_pub_assist_yes,0.0
480291315042,house_pub_assist_yes,28.0
480291315051,house_pub_assist_yes,17.0
480291315052,house_pub_assist_yes,12.0
480291315062,house_pub_assist_yes,38.0
480291316081,house_pub_assist_yes,41.0
480291315071,house_pub_assist_yes,0.0
480291315073,house_pub_assist_yes,10.0
480291316012,house_pub_assist_yes,0.0
480291316082,house_pub_assist_yes,31.0
480291316092,house_pub_assist_yes,43.0
480291316093,house_pub_assist_yes,0.0
480291316102,house_pub_assist_yes,24.0
480291316111,house_pub_assist_yes,0.0
480291316131,house_pub_assist_yes,11.0
480291316132,house_pub_assist_yes,36.0
480291316142,house_pub_assist_yes,0.0
480291316151,house_pub_assist_yes,0.0
480291316153,house_pub_assist_yes,40.0
480291316154,house_pub_assist_yes,18.0
480291318012,house_pub_assist_yes,0.0
480291318021,house_pub_assist_yes,12.0
480291318023,house_pub_assist_yes,14.0
480291411011,house_pub_assist_yes,0.0
480291411013,house_pub_assist_yes,24.0
480291411021,house_pub_assist_yes,9.0
480291411023,house_pub_assist_yes,30.0
480291414022,house_pub_assist_yes,22.0
480291414032,house_pub_assist_yes,0.0
480291414041,house_pub_assist_yes,35.0
480291414043,house_pub_assist_yes,40.0
480291416002,house_pub_assist_yes,0.0
480291513011,house_pub_assist_yes,0.0
480291513012,house_pub_assist_yes,0.0
480291513013,house_pub_assist_yes,0.0
480291513014,house_pub_assist_yes,15.0
480291513021,house_pub_assist_yes,7.0
480291513022,house_pub_assist_yes,0.0
480291521003,house_pub_assist_yes,0.0
480291521004,house_pub_assist_yes,12.0
