block_group,leave_time,count_leave_time
480291720072,time_leave_to_work_00_05,117.0
480291720073,time_leave_to_work_00_05,93.0
480291801012,time_leave_to_work_00_05,16.0
480291315031,time_leave_to_work_00_05,30.0
480291315032,time_leave_to_work_00_05,0.0
480291315041,time_leave_to_work_00_05,44.0
480291315042,time_leave_to_work_00_05,0.0
480291315051,time_leave_to_work_00_05,58.0
480291315052,time_leave_to_work_00_05,15.0
480291315062,time_leave_to_work_00_05,64.0
480291316081,time_leave_to_work_00_05,89.0
480291315071,time_leave_to_work_00_05,30.0
480291315073,time_leave_to_work_00_05,10.0
480291316012,time_leave_to_work_00_05,103.0
480291316082,time_leave_to_work_00_05,19.0
480291316092,time_leave_to_work_00_05,0.0
480291316093,time_leave_to_work_00_05,114.0
480291316102,time_leave_to_work_00_05,79.0
480291316111,time_leave_to_work_00_05,70.0
480291316131,time_leave_to_work_00_05,51.0
480291316132,time_leave_to_work_00_05,61.0
480291316142,time_leave_to_work_00_05,0.0
480291316151,time_leave_to_work_00_05,0.0
480291316153,time_leave_to_work_00_05,73.0
480291316154,time_leave_to_work_00_05,24.0
480291318012,time_leave_to_work_00_05,7.0
480291318021,time_leave_to_work_00_05,5.0
480291318023,time_leave_to_work_00_05,81.0
480291411011,time_leave_to_work_00_05,53.0
480291411013,time_leave_to_work_00_05,12.0
480291411021,time_leave_to_work_00_05,56.0
480291411023,time_leave_to_work_00_05,8.0
480291414022,time_leave_to_work_00_05,35.0
480291414032,time_leave_to_work_00_05,205.0
480291414041,time_leave_to_work_00_05,6.0
480291414043,time_leave_to_work_00_05,10.0
480291416002,time_leave_to_work_00_05,40.0
480291513011,time_leave_to_work_00_05,36.0
480291513012,time_leave_to_work_00_05,42.0
480291513013,time_leave_to_work_00_05,53.0
480291513014,time_leave_to_work_00_05,122.0
480291513021,time_leave_to_work_00_05,98.0
480291513022,time_leave_to_work_00_05,62.0
480291521003,time_leave_to_work_00_05,31.0
480291521004,time_leave_to_work_00_05,51.0
480291522011,time_leave_to_work_00_05,29.0
480291522012,time_leave_to_work_00_05,74.0
480291522013,time_leave_to_work_00_05,112.0
480291522021,time_leave_to_work_00_05,131.0
480291605011,time_leave_to_work_00_05,9.0
480291605012,time_leave_to_work_00_05,0.0
480291605021,time_leave_to_work_00_05,0.0
480291609013,time_leave_to_work_00_05,13.0
480291605022,time_leave_to_work_00_05,25.0
480291605024,time_leave_to_work_00_05,31.0
480291609011,time_leave_to_work_00_05,40.0
480291609021,time_leave_to_work_00_05,22.0
480291609023,time_leave_to_work_00_05,16.0
480291613022,time_leave_to_work_00_05,36.0
480291613032,time_leave_to_work_00_05,87.0
480291613041,time_leave_to_work_00_05,20.0
480291614001,time_leave_to_work_00_05,327.0
480291615031,time_leave_to_work_00_05,67.0
480291615033,time_leave_to_work_00_05,0.0
480291615041,time_leave_to_work_00_05,40.0
480291618011,time_leave_to_work_00_05,74.0
480291618012,time_leave_to_work_00_05,0.0
480291618022,time_leave_to_work_00_05,145.0
480291619011,time_leave_to_work_00_05,17.0
480291619022,time_leave_to_work_00_05,102.0
480291619023,time_leave_to_work_00_05,51.0
480291620032,time_leave_to_work_00_05,13.0
480291620033,time_leave_to_work_00_05,8.0
480291620042,time_leave_to_work_00_05,72.0
480291713011,time_leave_to_work_00_05,11.0
480291713021,time_leave_to_work_00_05,0.0
480291713022,time_leave_to_work_00_05,0.0
480291716011,time_leave_to_work_00_05,64.0
480291716013,time_leave_to_work_00_05,0.0
480291716021,time_leave_to_work_00_05,6.0
480291719022,time_leave_to_work_00_05,161.0
480291719023,time_leave_to_work_00_05,200.0
480291719131,time_leave_to_work_00_05,11.0
480291719132,time_leave_to_work_00_05,0.0
480291719142,time_leave_to_work_00_05,64.0
480291719143,time_leave_to_work_00_05,33.0
480291719161,time_leave_to_work_00_05,141.0
480291719162,time_leave_to_work_00_05,60.0
480291719171,time_leave_to_work_00_05,136.0
480291719172,time_leave_to_work_00_05,87.0
480291215053,time_leave_to_work_00_05,31.0
480291216051,time_leave_to_work_00_05,25.0
480291216052,time_leave_to_work_00_05,0.0
480291216062,time_leave_to_work_00_05,15.0
480291216063,time_leave_to_work_00_05,0.0
480291217011,time_leave_to_work_00_05,9.0
480291217012,time_leave_to_work_00_05,30.0
480291217014,time_leave_to_work_00_05,0.0
480291217021,time_leave_to_work_00_05,42.0
480291217023,time_leave_to_work_00_05,52.0
480291218081,time_leave_to_work_00_05,76.0
480291218091,time_leave_to_work_00_05,90.0
480291218092,time_leave_to_work_00_05,24.0
480291218101,time_leave_to_work_00_05,99.0
480291218102,time_leave_to_work_00_05,27.0
480291218112,time_leave_to_work_00_05,12.0
480291218121,time_leave_to_work_00_05,0.0
480291219032,time_leave_to_work_00_05,48.0
480291218123,time_leave_to_work_00_05,0.0
480291218124,time_leave_to_work_00_05,0.0
480291219031,time_leave_to_work_00_05,35.0
480291219042,time_leave_to_work_00_05,21.0
480291219051,time_leave_to_work_00_05,45.0
480291219061,time_leave_to_work_00_05,30.0
480291219062,time_leave_to_work_00_05,15.0
480291219072,time_leave_to_work_00_05,289.0
480291219081,time_leave_to_work_00_05,99.0
480291209024,time_leave_to_work_00_05,45.0
480291211103,time_leave_to_work_00_05,18.0
480291211183,time_leave_to_work_00_05,34.0
480291211192,time_leave_to_work_00_05,18.0
480291211193,time_leave_to_work_00_05,23.0
480291211202,time_leave_to_work_00_05,0.0
480291211211,time_leave_to_work_00_05,35.0
480291211212,time_leave_to_work_00_05,29.0
480291211221,time_leave_to_work_00_05,23.0
480291211222,time_leave_to_work_00_05,120.0
480291211223,time_leave_to_work_00_05,12.0
480291215014,time_leave_to_work_00_05,25.0
480291713023,time_leave_to_work_00_05,13.0
480291713024,time_leave_to_work_00_05,6.0
480291714012,time_leave_to_work_00_05,50.0
480291714021,time_leave_to_work_00_05,53.0
480291714023,time_leave_to_work_00_05,27.0
480291715011,time_leave_to_work_00_05,15.0
480291715021,time_leave_to_work_00_05,28.0
480291715022,time_leave_to_work_00_05,1.0
480291715024,time_leave_to_work_00_05,3.0
480291914121,time_leave_to_work_00_05,20.0
480291914131,time_leave_to_work_00_05,76.0
480291914132,time_leave_to_work_00_05,18.0
480291915031,time_leave_to_work_00_05,24.0
480291915032,time_leave_to_work_00_05,0.0
480291915033,time_leave_to_work_00_05,42.0
480291915041,time_leave_to_work_00_05,0.0
480291915042,time_leave_to_work_00_05,12.0
