block_group,f_biz_type,f_count_biz_type
480291918121,workers_f_for_profit,333.0
480291918122,workers_f_for_profit,292.0
480291918132,workers_f_for_profit,382.0
480291821062,workers_f_for_profit,634.0
480291905031,workers_f_for_profit,92.0
480291905033,workers_f_for_profit,306.0
480291905041,workers_f_for_profit,299.0
480291906031,workers_f_for_profit,249.0
480291906032,workers_f_for_profit,191.0
480291906042,workers_f_for_profit,190.0
480291906043,workers_f_for_profit,277.0
480291910052,workers_f_for_profit,199.0
480291910061,workers_f_for_profit,135.0
480291910063,workers_f_for_profit,303.0
480291801014,workers_f_for_profit,97.0
480291801015,workers_f_for_profit,99.0
480291801021,workers_f_for_profit,94.0
480291806044,workers_f_for_profit,95.0
480291801022,workers_f_for_profit,152.0
480291806041,workers_f_for_profit,299.0
480291806042,workers_f_for_profit,563.0
480291806045,workers_f_for_profit,124.0
480291810033,workers_f_for_profit,636.0
480291813032,workers_f_for_profit,400.0
480291814032,workers_f_for_profit,411.0
480291814033,workers_f_for_profit,390.0
480291814042,workers_f_for_profit,237.0
480291815032,workers_f_for_profit,936.0
480291817112,workers_f_for_profit,352.0
480291817113,workers_f_for_profit,512.0
480291817153,workers_f_for_profit,473.0
480291817162,workers_f_for_profit,290.0
480291817163,workers_f_for_profit,466.0
480291817164,workers_f_for_profit,379.0
480291817183,workers_f_for_profit,300.0
480291817201,workers_f_for_profit,698.0
480291817202,workers_f_for_profit,150.0
480291817211,workers_f_for_profit,477.0
480291817212,workers_f_for_profit,307.0
480291817231,workers_f_for_profit,272.0
480291817221,workers_f_for_profit,511.0
480291817222,workers_f_for_profit,235.0
480291817223,workers_f_for_profit,279.0
480291817232,workers_f_for_profit,170.0
480291817233,workers_f_for_profit,370.0
480291817241,workers_f_for_profit,419.0
480291817242,workers_f_for_profit,426.0
480291817251,workers_f_for_profit,406.0
480291817261,workers_f_for_profit,479.0
480291817262,workers_f_for_profit,719.0
480291817271,workers_f_for_profit,488.0
480291817272,workers_f_for_profit,246.0
480291817282,workers_f_for_profit,866.0
480291817291,workers_f_for_profit,1564.0
480291817302,workers_f_for_profit,458.0
480291817311,workers_f_for_profit,418.0
480291817313,workers_f_for_profit,531.0
480291817314,workers_f_for_profit,448.0
480291818131,workers_f_for_profit,501.0
480291818133,workers_f_for_profit,503.0
480291818141,workers_f_for_profit,738.0
480291818151,workers_f_for_profit,136.0
480291818152,workers_f_for_profit,546.0
480291818162,workers_f_for_profit,550.0
480291818171,workers_f_for_profit,324.0
480291818181,workers_f_for_profit,347.0
480291818182,workers_f_for_profit,266.0
480291818191,workers_f_for_profit,211.0
480291818192,workers_f_for_profit,1274.0
480291818202,workers_f_for_profit,931.0
480291818211,workers_f_for_profit,152.0
480291818221,workers_f_for_profit,333.0
480291818222,workers_f_for_profit,292.0
480291818231,workers_f_for_profit,1044.0
480291818241,workers_f_for_profit,171.0
480291912012,workers_f_for_profit,292.0
480291910064,workers_f_for_profit,165.0
480291912011,workers_f_for_profit,281.0
480291912021,workers_f_for_profit,155.0
480291912022,workers_f_for_profit,361.0
480291912023,workers_f_for_profit,77.0
480291912024,workers_f_for_profit,276.0
480291913031,workers_f_for_profit,350.0
