block_group,household_retirement,count_household_retirement
480291920002,house_retire_yes,32.0
480291920004,house_retire_yes,56.0
480291920005,house_retire_yes,0.0
480291921002,house_retire_yes,86.0
480291922001,house_retire_yes,79.0
480291923001,house_retire_yes,122.0
480291923002,house_retire_yes,131.0
480291923003,house_retire_yes,87.0
480291923004,house_retire_yes,53.0
480299800011,house_retire_yes,0.0
480299800021,house_retire_yes,0.0
480299800031,house_retire_yes,18.0
480299800041,house_retire_yes,0.0
480299800051,house_retire_yes,0.0
480299801001,house_retire_yes,11.0
480291805033,house_retire_yes,151.0
480291704011,house_retire_yes,44.0
480291914081,house_retire_yes,53.0
480291914091,house_retire_yes,148.0
480291412006,house_retire_yes,52.0
480291412003,house_retire_yes,44.0
480291501002,house_retire_yes,64.0
480291407002,house_retire_yes,66.0
480291413002,house_retire_yes,179.0
480291414021,house_retire_yes,216.0
480291806022,house_retire_yes,153.0
480291101003,house_retire_yes,62.0
480291211121,house_retire_yes,303.0
480291519002,house_retire_yes,162.0
480291409001,house_retire_yes,48.0
480291505011,house_retire_yes,7.0
480291505013,house_retire_yes,82.0
480291110001,house_retire_yes,25.0
480291204002,house_retire_yes,28.0
480291204006,house_retire_yes,257.0
480291204004,house_retire_yes,82.0
480291710005,house_retire_yes,58.0
480291710003,house_retire_yes,11.0
480291717005,house_retire_yes,146.0
480291213004,house_retire_yes,230.0
480291215012,house_retire_yes,240.0
480291215073,house_retire_yes,61.0
480291312001,house_retire_yes,110.0
480291404003,house_retire_yes,37.0
480291101001,house_retire_yes,65.0
480291209023,house_retire_yes,83.0
480291214032,house_retire_yes,172.0
480291216041,house_retire_yes,423.0
