block_group,household_ssdi,count_household_ssdi
480291719161,house_sup_sec_yes,27.0
480291719162,house_sup_sec_yes,24.0
480291719171,house_sup_sec_yes,42.0
480291719172,house_sup_sec_yes,41.0
480291215053,house_sup_sec_yes,40.0
480291216051,house_sup_sec_yes,0.0
480291216052,house_sup_sec_yes,0.0
480291216062,house_sup_sec_yes,89.0
480291216063,house_sup_sec_yes,0.0
480291217011,house_sup_sec_yes,23.0
480291217012,house_sup_sec_yes,24.0
480291217014,house_sup_sec_yes,10.0
480291217021,house_sup_sec_yes,81.0
480291217023,house_sup_sec_yes,19.0
480291218081,house_sup_sec_yes,10.0
480291218091,house_sup_sec_yes,0.0
480291218092,house_sup_sec_yes,27.0
480291218101,house_sup_sec_yes,0.0
480291218102,house_sup_sec_yes,20.0
480291218112,house_sup_sec_yes,23.0
480291218121,house_sup_sec_yes,15.0
480291219032,house_sup_sec_yes,0.0
480291218123,house_sup_sec_yes,0.0
480291218124,house_sup_sec_yes,0.0
480291219031,house_sup_sec_yes,66.0
480291219042,house_sup_sec_yes,34.0
480291219051,house_sup_sec_yes,9.0
480291219061,house_sup_sec_yes,56.0
480291219062,house_sup_sec_yes,15.0
480291219072,house_sup_sec_yes,36.0
480291219081,house_sup_sec_yes,0.0
480291209024,house_sup_sec_yes,0.0
480291211103,house_sup_sec_yes,0.0
480291211183,house_sup_sec_yes,27.0
480291211192,house_sup_sec_yes,58.0
480291211193,house_sup_sec_yes,15.0
480291211202,house_sup_sec_yes,21.0
480291211211,house_sup_sec_yes,5.0
480291211212,house_sup_sec_yes,37.0
480291211221,house_sup_sec_yes,34.0
480291211222,house_sup_sec_yes,52.0
480291211223,house_sup_sec_yes,13.0
480291215014,house_sup_sec_yes,70.0
480291713023,house_sup_sec_yes,34.0
480291713024,house_sup_sec_yes,45.0
480291714012,house_sup_sec_yes,144.0
480291714021,house_sup_sec_yes,74.0
480291714023,house_sup_sec_yes,80.0
480291715011,house_sup_sec_yes,52.0
480291715021,house_sup_sec_yes,34.0
480291715022,house_sup_sec_yes,28.0
480291715024,house_sup_sec_yes,50.0
480291914121,house_sup_sec_yes,4.0
480291914131,house_sup_sec_yes,40.0
480291914132,house_sup_sec_yes,11.0
480291915031,house_sup_sec_yes,26.0
480291915032,house_sup_sec_yes,26.0
480291915033,house_sup_sec_yes,0.0
480291915041,house_sup_sec_yes,5.0
480291915042,house_sup_sec_yes,10.0
480291915051,house_sup_sec_yes,11.0
480291915052,house_sup_sec_yes,6.0
480291915061,house_sup_sec_yes,33.0
480291915062,house_sup_sec_yes,28.0
480291915063,house_sup_sec_yes,0.0
480291917012,house_sup_sec_yes,0.0
480291917021,house_sup_sec_yes,0.0
480291917023,house_sup_sec_yes,36.0
480291917024,house_sup_sec_yes,0.0
480291918061,house_sup_sec_yes,0.0
480291918062,house_sup_sec_yes,0.0
480291918071,house_sup_sec_yes,29.0
480291918072,house_sup_sec_yes,24.0
480291918082,house_sup_sec_yes,0.0
480291918091,house_sup_sec_yes,14.0
480291918101,house_sup_sec_yes,24.0
480291918102,house_sup_sec_yes,14.0
480291918121,house_sup_sec_yes,34.0
480291918122,house_sup_sec_yes,0.0
480291918132,house_sup_sec_yes,0.0
480291821062,house_sup_sec_yes,48.0
480291905031,house_sup_sec_yes,26.0
480291905033,house_sup_sec_yes,84.0
480291905041,house_sup_sec_yes,33.0
480291906031,house_sup_sec_yes,35.0
480291906032,house_sup_sec_yes,37.0
480291906042,house_sup_sec_yes,23.0
480291906043,house_sup_sec_yes,91.0
480291910052,house_sup_sec_yes,46.0
480291910061,house_sup_sec_yes,0.0
480291910063,house_sup_sec_yes,97.0
480291801014,house_sup_sec_yes,13.0
480291801015,house_sup_sec_yes,47.0
480291801021,house_sup_sec_yes,17.0
480291806044,house_sup_sec_yes,0.0
480291801022,house_sup_sec_yes,28.0
480291806041,house_sup_sec_yes,16.0
480291806042,house_sup_sec_yes,73.0
480291806045,house_sup_sec_yes,0.0
480291810033,house_sup_sec_yes,10.0
480291813032,house_sup_sec_yes,28.0
480291814032,house_sup_sec_yes,0.0
480291814033,house_sup_sec_yes,0.0
480291814042,house_sup_sec_yes,21.0
480291815032,house_sup_sec_yes,39.0
480291817112,house_sup_sec_yes,59.0
480291817113,house_sup_sec_yes,120.0
480291817153,house_sup_sec_yes,109.0
480291817162,house_sup_sec_yes,30.0
480291817163,house_sup_sec_yes,59.0
480291817164,house_sup_sec_yes,0.0
480291817183,house_sup_sec_yes,0.0
480291817201,house_sup_sec_yes,46.0
480291817202,house_sup_sec_yes,0.0
480291817211,house_sup_sec_yes,2.0
480291817212,house_sup_sec_yes,8.0
480291817231,house_sup_sec_yes,60.0
480291817221,house_sup_sec_yes,11.0
480291817222,house_sup_sec_yes,8.0
480291817223,house_sup_sec_yes,0.0
480291817232,house_sup_sec_yes,0.0
480291817233,house_sup_sec_yes,50.0
480291817241,house_sup_sec_yes,9.0
